epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.302,1.44617,2.23909,1.59264,0.36578,0.2,0.21056,0.0677,2.27915,3.18404,2.51699,0.000653595,0.000653595,0.000653595
2,469.048,1.35105,1.77135,1.53433,0.22667,0.16364,0.0905,0.02637,2.95765,3.98992,4.1272,0.00126798,0.00126798,0.00126798
3,702.873,1.43529,1.72974,1.6092,0.54866,0.05455,0.06878,0.01449,2.8347,3.85367,3.59997,0.00182956,0.00182956,0.00182956
4,929.08,1.33895,1.57409,1.55057,0.25047,0.18182,0.12145,0.03247,2.64644,3.49736,3.30167,0.0017624,0.0017624,0.0017624
5,1162.28,1.27759,1.42893,1.50224,0.16477,0.16364,0.04732,0.01195,2.86784,3.31833,3.48071,0.0016832,0.0016832,0.0016832
6,1389.32,1.21258,1.33746,1.47251,0.07599,0.10909,0.02191,0.00692,3.05447,3.37662,3.51975,0.001604,0.001604,0.001604
7,1617.33,1.16595,1.2255,1.42231,0.22501,0.12727,0.06357,0.01444,3.0164,3.16512,3.56119,0.0015248,0.0015248,0.0015248
8,1847.72,1.14713,1.18633,1.4016,0.27599,0.10909,0.09395,0.02813,2.76566,3.17754,3.26465,0.0014456,0.0014456,0.0014456
9,2077.34,1.08737,1.10628,1.36387,0.1738,0.23636,0.09358,0.02226,2.82743,2.95067,3.88388,0.0013664,0.0013664,0.0013664
10,2306.72,1.0829,1.10146,1.34296,0.12436,0.21818,0.08759,0.01544,2.81814,3.23646,3.24287,0.0012872,0.0012872,0.0012872
11,2538.14,1.04266,1.06637,1.34508,0.3358,0.14545,0.11647,0.02965,2.96522,2.9991,3.53736,0.001208,0.001208,0.001208
12,2769.56,0.99362,0.9895,1.30457,0.35194,0.2,0.18821,0.06229,2.73539,2.67324,2.95536,0.0011288,0.0011288,0.0011288
13,3044.59,1.00023,0.975,1.30627,0.40443,0.2,0.18517,0.05548,2.6937,2.91475,2.84194,0.0010496,0.0010496,0.0010496
14,3353.28,0.9821,1.00476,1.3068,0.228,0.18182,0.15133,0.03922,2.67204,2.95988,3.07772,0.0009704,0.0009704,0.0009704
15,3665.17,0.95029,0.90867,1.26202,0.56756,0.10909,0.1254,0.03855,2.63059,3.16776,2.83784,0.0008912,0.0008912,0.0008912
16,3974.63,0.76965,0.86729,1.19508,0.29483,0.23567,0.11919,0.02966,2.62665,3.24807,3.72141,0.000812,0.000812,0.000812
17,4283.1,0.76724,0.77418,1.18667,0.1252,0.12727,0.0767,0.01973,2.77903,3.0527,3.18757,0.0007328,0.0007328,0.0007328
18,4592.65,0.7355,0.74073,1.16725,0.29822,0.14545,0.10942,0.02734,2.55536,3.36356,3.02503,0.0006536,0.0006536,0.0006536
19,4901.2,0.71256,0.71556,1.15701,0.63773,0.12727,0.14806,0.04551,2.61133,2.93783,2.94462,0.0005744,0.0005744,0.0005744
20,5209.85,0.65565,0.6697,1.11162,0.31653,0.16364,0.14712,0.03893,2.61475,2.846,3.00515,0.0004952,0.0004952,0.0004952
21,5519.02,0.65188,0.65029,1.10283,0.30316,0.12727,0.12619,0.05639,2.47871,3.28873,2.63837,0.000416,0.000416,0.000416
22,5827.47,0.61736,0.60151,1.07941,0.5491,0.12727,0.14686,0.05116,2.58085,3.16224,2.76535,0.0003368,0.0003368,0.0003368
23,6136.17,0.6105,0.59323,1.08534,0.48656,0.10909,0.12117,0.03601,2.48372,3.20645,2.73386,0.0002576,0.0002576,0.0002576
24,6444.13,0.58332,0.56739,1.05412,0.30239,0.13416,0.15215,0.0465,2.43041,3.169,2.66129,0.0001784,0.0001784,0.0001784
25,6753.14,0.56607,0.53982,1.05521,0.60467,0.16364,0.21308,0.06379,2.43674,2.84631,2.7266,9.92e-05,9.92e-05,9.92e-05
